N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
727;11/07/2020;Real Valladolid;José Zorrilla;1-0;;;;;1;15;LaLiga Santander 2019-20 Jornada 36;;;;;2019/20544?
749;22.12.2020;Real Valladolid;José Zorrilla;3-0;1 (3-0);65;z;Pedri;1 (1-0);21;LaLiga Santander 2020-21 Jornada 15;;;Lenglet;90;2020/21578?
769;5.4.2021;Real Valladolid;Camp Nou;1-0;;;;;;;LaLiga Santander 2020-21 Jornada 29;;;;;2020/21578?
12;01/10/2005;Real Zaragoza;Camp Nou;2-215?;-;-;-;-;-;-;La Liga 2005/06 Jornada 6; 67' Giuly;;-;25;2005/0613?
27;26/01/2006;Real Zaragoza;La Romareda;2-430?;-;-;-;-;;-;Copa del Rey 2005/06 Cuartos Ida;;;;90;2005/0613?
29;01/02/2006;Real Zaragoza;Camp Nou;2-132?;1 (1-0);42;c;Giuly;;-;Copa del Rey 2005/06 Cuartos Vuelta;;;;90;2005/0613?
33;25/02/2006;Real Zaragoza;La Romareda;2-036?;-;;c?;-;;-;La Liga 2005/06 Jornada 25; 70 Larsson';;-;69;2005/0613?
49;12/11/2006;Real Zaragoza;Camp Nou;3-153?;-;-;-;-;-;-;La Liga 2006/07 Jornada 10;;;;22;2006/0739?
54;28/02/2007;Real Zaragoza;La Romareda;2-158?;;;-;;-;-;Copa del Rey 2006-07 Cuartos Vuelta;;;;90;2006/0739?
60;07/04/2007;Real Zaragoza;La Romareda;0-164?;-;-;-;-;-;-;La Liga 2006/07 Jornada 29;;Cesar Sánchez;;90;2006/0739?
75;26/09/2007;Real Zaragoza;Camp Nou;4-180?;2 (1-0, 2-1);5, 11;z (2);Henry, Deco;-;-;La Liga 2007/08 Jornada 5;;;;;2007/0876?
97;16/02/2008;Real Zaragoza;La Romareda;2-1102?;;;-;;-;-;La Liga 2007/08 Jornada 24; 79';;;;2007/0876?
173;25/10/2009;Real Zaragoza;Camp Nou;6-1164?;1 (5-1);80;z;Iniesta;1 (1-0);24;Liga BBVA 2009/10 Jornada 8;;;Keita;;2009/10156?
199;21/03/2010;Real Zaragoza;La Romareda;4-2179?;3 (1-0, 2-0, 3-0);5, 66, 78;c, z;Pedro, Iniesta;-;-;Liga BBVA 2009/10 Jornada 27;;;;;2009/10156?
225;23/10/2010;Real Zaragoza;La Romareda;2-0195?;2;42, 66;z (2);Villa;-;-;Liga BBVA 2010/11 Jornada 8;;;;;2010/11188?
253;05/03/2011;Real Zaragoza;Camp Nou;1-0207?;;;-;;-;-;Liga BBVA 2010/11 Jornada 27;;;;;2010/11188?
288;19/11/2011;Real Zaragoza;Camp Nou;4-0232?;1 (2-0);43;d;Fábregas;-;-;Liga BBVA 2011/12 Jornada 13;;;;;2011/12218?
319;07/04/2012;Real Zaragoza;La Romareda;4-1257?;2 (2-1, 3-1);39, 86;z, p (2);Alexis;1;90+2;Liga BBVA 2011/12 Jornada 32;;;Pedro;;2011/12218?
347;17/11/2012;Real Zaragoza;Camp Nou;3-1275?;2 (1-0, 3-1);16, 60;z (2);Jordi Alba, Montoya;1 (2-1);28;Liga BBVA 2012/13 Jornada 12;;;Song;;2012/13263?
58;17/03/2007;Recreativo de Huelva;Nuevo Colombino;4-062?;1 (4-0);86;z;;-;-;La Liga 2006/07 Jornada 27;;;;90;2006/0739?
86;24/11/2007;Recreativo de Huelva;Camp Nou;3-091?;1 (3-0);82;p;;-;-;La Liga 2007/08 Jornada 13;;;;;2007/0876?
103;12/04/2008;Recreativo de Huelva;Nuevo Colombino;2-2108?;;;-;;-;-;La Liga 2007/08 Jornada 32; 64';;;;2007/0876?
125;16/11/2008;Recreativo de Huelva;Nuevo Colombino;2-0131?;1 (1-0);52;z;Xavi;-;-;Liga BBVA 2008/09 Jornada 11;;;;;2008/09117?
152;11/04/2009;Recreativo de Huelva;Camp Nou;2-0;;;-;;-;-;Liga BBVA 2008/09 Jornada 30;;;;;2008/09117?
783;3.10.2021;Rennes;Roazhon Park;0-2;;;;-;-;-;Ligue 1 2021-22 Jornada 9;;;-;90;2021-22
499;20/12/2015;River Plate;Yokohama;3-0404?;1 (1-0);36;z;Neymar;;-;Mundial de Clubes 2015 Final;;;;90;2015/16391?
172;20/10/2009;Rubin Kazán;Camp Nou;1-2163?;;;-;;-;-;Liga de Campeones 2009/10 J3 FG;;;;;2009/10156?
175;04/11/2009;Rubin Kazán;Kazán Arena;0-0165?;-;-;-;-;-;-;Liga de Campeones 2009/10 J4 FG;;;-;;2009/10156?
221;26/09/2010;Rubin Kazán;Kazán Arena;1-1192?;;;-;;-;-;Liga de Campeones 2010/11 J2 FG; 59';;;;2010/11188?
235;07/12/2010;Rubin Kazán;Camp Nou;2-0201?;;;-;;-;-;Liga de Campeones 2010/11 J6 FG; 62';;;;2010/11188?
825;5.10.2022;S L Benfica;da Luz;01-ene;1;;;Neymar;;;Liga de Campeones 2022-23 FG;;;-;;2022-23609?
641;02/09/2018;S. D. Huesca;Camp Nou;8-2513?;2 (1-1, 6-2);16, 61;d, z;Rakitic, Coutinho;2;52, 81;LaLiga Santander 2018-19 Jornada 3;;;Jordi Alba;;2018/19512?
750;3.1.2021;S. D. Huesca;El Alcoraz;1-0588?;;;;;1;27;LaLiga Santander 2020-21 Jornada 17;;;de Jong;90;2020/21578?
767;15.3.2021;S. D. Huesca;Camp Nou;4-1602?;2 (1-0, 4-1);13, 90;z (2);Busquets, Trincão;1 (3-1);53;LaLiga Santander 2020-21 Jornada 27;;;Mingueza;;2020/21578?
716;25/02/2020;S. S. C. Napoli;San Paolo;1-1567?;;;;;;;Liga de Campeones 2019-20 1/8 Ida;;;;;2019/20544?
730;08/08/2020;S. S. C. Napoli;Camp Nou;3-1576?;1 (2-0);23;r;;;;Liga de Campeones 2019-20 1/8 Vuelta;;;;90;2019/20544?
435;18/10/2014;S.D. Eibar;Camp Nou;3-0350?;1;74;z;Neymar;1 (1-0);60;Liga BBVA 2014/15 Jornada 8;-;;Neymar;90;2014/15341?
