N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
743;29/11/2020;C.A. Osasuna;Camp Nou;4-0;1 (4-0);73;z;Trincão;-;-;LaLiga Santander 2020-21 Jornada 11;;;;90;2020/21578?
765;6.3.2021;C.A. Osasuna;El Sadar;2-0600?;;;;;2;30, 83;LaLiga Santander 2020-21 Jornada 26;;;Jordi Alba, Ilaix Moriba;;2020/21578?
111;31/08/2008;C.D. Numancia;Los Pajaritos;0-1116?;-;-;-;-;-;-;Liga BBVA 2008/09 Jornada 1;;;-;;2008/09117?
136;24/01/2009;C.D. Numancia;Camp Nou;04-ene;2 (1-0, 41);49, 76;z, r;Alves;1;71;Liga BBVA 2008/09 Jornada 20;;;Henry;;2008/09117?
186;10/01/2010;C.D. Tenerife;Heliodoro;5-0171?;3 (1-0, 3-0, 4-0);36, 45, 75;z, d, z;Bojan (3);1 (2-0);44;Liga BBVA 2009/10 Jornada 17;;;Puyol;;2009/10156?
212;04/05/2010;C.D. Tenerife;Camp Nou;04-ene;2 (1-0, 4-1);17, 90+3;d (2);Ibrahimovi?, Alves;-;-;Liga BBVA 2009/10 Jornada 36;;;;;2009/10156?
22;17/12/2005;Cádiz C. F.;Ramón de Carranza;3-125?;-;-;-;-;1 (3-0);49;La Liga 2005/06 Jornada 16; 82' Ezquerro;;;81;2005/0613?
744;06/12/2020;Cádiz C. F.;Ramón de Carranza;01-feb;;;;;;;LaLiga Santander 2020-21 Jornada 12;;Jeremías Ledesma;;90;2020/21578?
761;21.2.2021;Cádiz C. F.;Camp Nou;1-1596?;1;32;p;;;;LaLiga Santander 2020-21 Jornada 24;;;;;2020/21578?
601;18/11/2017;CD Leganés;Butarque;3-0;;;;;;;LaLiga Santander 2017-18 Jornada 12;;;Paulinho;90;2017/18475?
23;20/12/2005;Celta de Vigo;Camp Nou;2-026?;-;-;-;-;-;-;La Liga 2005/06 Jornada 17; 67' Giuly;;-;66;2005/0613?
38;28/08/2006;Celta de Vigo;Balaídos;3-242?;1 (2-1);60;z;Iniesta;1 (1-1);56;La Liga 2006/07 Jornada 1;;;Eto'o;90;2006/0739?
344;03/11/2012;Celta de Vigo;Camp Nou;03-ene;;;-;;-;-;Liga BBVA 2012/13 Jornada 10;;;;;2012/13263?
373;30/03/2013;Celta de Vigo;Balaídos;02-feb;1 (2-1);73;z;Tello;1;43;Liga BBVA 2012/13 Jornada 29;;;Tello;;2012/13263?
392;29/10/2013;Celta de Vigo;Balaídos;3-0306?;-;-;-;-;1 (3-0);54;Liga BBVA 2013/14 Jornada 11;-;;Fábregas;90;2013/14294?
414;26/03/2014;Celta de Vigo;Camp Nou;3-0328?;1 (2-0);30;d;Iniesta;-;-;Liga BBVA 2013/14 Jornada 30;-;;-;90;2013/14294?
438;01/11/2014;Celta de Vigo;Camp Nou;0-1353?;-;-;;;-;-;Liga BBVA 2014/15 Jornada 10;-;;-;90;2014/15341?
467;05/04/2015;Celta de Vigo;Balaídos;1-0;-;-;;;;-;Liga BBVA 2014/15 Jornada 29;;;;90;2014/15341?
491;23/09/2015;Celta de Vigo;Balaídos;1-4398?;-;-;;;1;80;Liga BBVA 2015/16 Jornada 5;;;Neymar;90;2015/16391?
511;14/02/2016;Celta de Vigo;Camp Nou;6-1411?;1 (1-0);28;TL;;2 (2-1,);59, 81;Liga BBVA 2015/16 Jornada 24;;;Luis Suárez (2);90;2015/16391?
568;04/03/2017;Celta de Vigo;Camp Nou;5-0458?;2 (1-0, 5-0);24, 64;z (2);;2;40, 61;LaLiga Santander 2016/17 Jornada 26;;;Neymar, Umtiti;90;2016/17424?
604;02/12/2017;Celta de Vigo;Camp Nou;2-2491?;1;22;z;Paulinho;;;LaLiga Santander 2017-18 Jornada 14;;;;90;2017/18475?
610;11/01/2018;Celta de Vigo;Camp Nou;5-0;2 (1-0, 2-0);13, 15;z (2);Jordi Alba (2);1;28;Copa del Rey 2017-18 Octavos Vuelta;;;Jordi Alba;90;2017/18475?
632;17/04/2018;Celta de Vigo;Balaídos;02-feb;;;;;;;LaLiga Santander 2017-18 Jornada 33;;;;30;2017/18475?
657;22/12/2018;Celta de Vigo;Camp Nou;2-0;1 (2-0);45;z;Jordi Alba;;;LaLiga Santander 2018-19 Jornada 17;;;;;2018/19512?
698;09/11/2019;Celta de Vigo;Camp Nou;4-1552?;3 (1-0, 2-1, 3-1);23, 45, 48;p, TL (2);-;-;-;LaLiga Santander 2019-20 Jornada 13; 40';;-;90;2019/20544?
723;27/06/2020;Celta de Vigo;Balaídos;2-2573?;;;;;2;20, 67;LaLiga Santander 2019-20 Jornada 32;;;Luis Suárez (2);;2019/20544?
733;01/10/2020;Celta de Vigo;Balaídos;3-0579?;;;;;;;LaLiga Santander 2020-21 Jornada 4;;;;90;2020/21578?
778**;16.5.2021;Celta de Vigo;Camp Nou;01-feb;1 (1-0);23;z;Busquets;;;LaLiga Santander 2020-21 Jornada 37;;;;90;2020/21578?
98;20/02/2008;Celtic F.C.;Celtic Park;3-2103?;2 (1-1, 3-2);18, 79;z (2);Deco;-;-;Liga de Campeones 2007/08 1/8 Ida;;;;;2007/0876?
102;04/03/2008;Celtic F.C.;Camp Nou;1-0107?;;;;;-;-;Liga de Campeones 2007/08 1/8 Vuelta; 37';;;;2007/0876?
342;23/10/2012;Celtic F.C.;Camp Nou;02-ene;;;-;;-;-;Liga de Campeones 2012/13 J3 FG;;;;;2012/13263?
345;07/11/2012;Celtic F.C.;Celtic Park;1-2273?;1 (1-2);90+1;r;;-;-;Liga de Campeones 2012/13 J4 FG;;;;;2012/13263?
537;13/09/2016;Celtic F.C.;Camp Nou;7-0428?;3 (1-0, 2-0, 5-0);3, 27, 60;z (3);Neymar (2), Luis Suárez;1;88;Liga De Campeones 2016/17 FG J1;;;Luis Suárez;90;2016/17424?
546;19/11/2016;Celtic F.C.;Celtic Park;2-0436?;2;24, 55;z, p;Neymar;;;Liga de Campeones 2016/17 FG J5;;;;90;2016/17424?
858;12.8.2023;Charlotte;DRV PNK Stadium;4-0;1;;;Leonardo Campana;;;Leagues Cup 2023 1/4;;;;;2023610?
32;22/02/2006;Chelsea F.C.;Stamford Bridge;2-135?;-;;-;-;;-;Liga de Campeones 2005/06 1/8 Ida;-;;-;90;2005/0613?
34;07/03/2006;Chelsea F.C.;Camp Nou;1-137?;-;-;-;-;;-;Liga de Campeones 2005/06 1/8 Vuelta; 24 Larsson';;-;24;2005/0613?
45;18/10/2006;Chelsea F.C.;Stamford Bridge;0-149?;-;;-;-;-;-;Liga de Campeones 2006/07 J3 FG;;;-;90;2006/0739?
47;31/10/2006;Chelsea F.C.;Camp Nou;2-251?;;;-;-;;-;Liga de Campeones 2006/07 J4 FG;;;;90;2006/0739?
156;28/04/2009;Chelsea F.C.;Camp Nou;0-0150?;-;-;-;-;-;-;Liga de Campeones 2008/09 SF Ida;;;-;;2008/09117?
158;06/05/2009;Chelsea F.C.;Stamford Bridge;1-1152?;;;-;;1;90+3;Liga de Campeones 2008/09 SF Vuelta;;;Iniesta;;2008/09117?
322;18/04/2012;Chelsea F.C.;Stamford Bridge;0-1258?;;;-;;-;-;Liga de Campeones 2011/12 SF Ida;;Petr ?ech;;;2011/12218?
324;24/04/2012;Chelsea F.C.;Camp Nou;2-2260?;;;-;;1;43;Liga de Campeones 2011/12 SF Vuelta;;;;;2011/12218?
621;20/02/2018;Chelsea F.C.;Stamford Bridge;1-1499?;1;75;z;Iniesta;;;Liga de Campeones 2017-18 1/8 Ida;;;;;2017/18475?
625;14/03/2018;Chelsea F.C.;Camp Nou;3-0502?;2 (1-0, 3-0);3, 63;d, z;Luis Suárez;1;20;Liga de Campeones 2017-18 1/8 Vuelta;;;Dembélé;;2017/18475?
861;23.8.2023;Cincinnati;TQL Stadium;3 (5)-3 (4);;;;;;;U.S. Open Cup 2023 Semifinales;;;;;2023610?
866;7.10.2023;Cincinnati;DRV PNK Stadium;0-1;;;;;;;MLS 2023 J34;;;;;2023610?
853;3.6.2023;Clermont;Parc des Princes;02-mar;;;;;;;Ligue 1 2022-23 Jornada 38;;;;;2022-23609?
806;9.4.2022;Clermont F.A.;Gabriel Montpied;06-ene;;;;;;;Ligue 1 2021-22 Jornada 31;;;;;2021-22
814;6.8.2022;Clermont Foot 63;Gabriel Montpied;5-0;2;;;Neymar, Paredes;;;Ligue 1 2022-23 Jornada 1;;;;;2022-23609?
780;15.9.2021;Club Brujas;Jan Breydel;01-ene;;;;-;-;-;Liga de Campeones 2021-22 FG;;;;;2021-22
792;7.12.2021;Club Brujas;Parc des Princes;04-ene;2 (3-0, 4-1);38, 76;z, p;Di María;;;Liga de Campeones 2021-22 FG;;;;;2021-22
447;20/12/2014;Córdoba C.F;Camp Nou;5-0362?;2;81, 90;d, d;-;-;-;Liga BBVA 2014/15 Jornada 16;;;-;90;2014/15341?
353;12/12/2012;Córdoba C.F.;Nuevo Arcángel;2-0;2;11, 74;z (2);Villa, Alexis;-;-;Copa del Rey 2012/13 Octavos Ida;;;;;2012/13263?
475;02/05/2015;Córdoba C.F.;Nuevo Arcángel;8-0384?;2 (3-0, 6-0);47, 80;c, r;Dani Alves, Luis Suárez;1 (1-0);42;Liga BBVA 2014/15 Jornada 35;;;Rakiti?;90;2014/15341?
854;21.7.2023;Cruz Azul;DRV PNK Stadium;02-ene;1;;;;;;Leagues Cup 2023 FG;;;;;2023610?
177;10/11/2009;Cultural Leonesa;Camp Nou;5-0;1 (4-0);64;z;Pedro;-;-;Copa del Rey 2009/10 1/16 Vuelta;;;;;2009/10156?
857;6.8.2023;Dallas;Toyota;4 (5)-4 (3);2;;;Jordi Alba;;;Leagues Cup 2023 1/8;;;;;2023610?
26;23/01/2006;Deportivo Alavés;Camp Nou;2-029?;1 (2-0);81;r;;;-;La Liga 2005/06 Jornada 20; 73';;;19;2005/0613?
536;10/09/2016;Deportivo Alavés;Camp Nou;1-2427?;-;-;;;;-;LaLiga Santander 2016/17 Jornada 3; 63 Denis';Fernando Pacheco;;30;2016/17424?
563;11/02/2017;Deportivo Alavés;Mendizorroza;6-0453?;1 (3-0);59;z;;;;LaLiga Santander 2016/17 Jornada 22;;;;90;2016/17424?
583;27/05/2017;Deportivo Alavés;Vicente Calderón;3-1473?;1 (1-0);30;z;Neymar;1;45+3;Copa del Rey 2016/17 Final;;;Alcácer;90;2016/17424?
587;26/08/2017;Deportivo Alavés;Mendizorroza;2-0477?;2;55, 66;z (2);Alba, Alcácer;;;LaLiga Santander 2017-18 Jornada 2;;;;90;2017/18475?
615;28/01/2018;Deportivo Alavés;Camp Nou;02-ene;1 (2-1);84;TL;;;;LaLiga Santander 2017-18 Jornada 21;;;;90;2017/18475?
639;18/08/2018;Deportivo Alavés;Camp Nou;3-0;2 (1-0, 3-0);64, 90+2;TL, z;Luis Suárez;1;79;LaLiga Santander 2018-19 Jornada 1;;;;;2018/19512?
681;23/04/2019;Deportivo Alavés;Mendizorroza;2-0;-;-;-;-;-;-;LaLiga Santander 2018-19 Jornada 34; 61 Dembélé';;-;29;2018/19512?
705;21/12/2019;Deportivo Alavés;Camp Nou;04-ene;1 (3-1);69;z;Luis Suarez;-;-;LaLiga Santander 2019-20 Jornada 18;-;;-;90;2019/20544?
729;19/07/2020;Deportivo Alavés;Mendizorroza;5-0;2 (2-0, 5-0);34, 75;z (2);Riqui Puig, Jordi Alba;1;24;LaLiga Santander 2019-20 Jornada 38;;;;;2019/20544?
739;31/10/2020;Deportivo Alavés;Mendizorroza;01-ene;;;;;;;LaLiga Santander 2020-21 Jornada 8;;;;90;2020/21578?
759;13.2.2021;Deportivo Alavés;Camp Nou;5-1594?;2 (2-0, 4-1);45+1, 75;z (2);Busquets, Riqui Puig;1 (3-1);74;LaLiga Santander 2020-21 Jornada 23;;;Trincão;;2020/21578?
48;04/11/2006;Deportivo de la Coruña;Riazor;1-152?;-;-;-;-;-;-;La Liga 2006/07 Jornada 9;;;;90;2006/0739?
59;31/03/2007;Deportivo de la Coruña;Camp Nou;2-163?;1 (1-0);45;z;Ronaldinho;-;-;La Liga 2006/07 Jornada 28;;;;84;2006/0739?
89;09/12/2007;Deportivo de la Coruña;Camp Nou;2-194?;;;-;;-;-;La Liga 2007/08 Jornada 15;;;;;2007/0876?
134;17/01/2009;Deportivo de la Coruña;Camp Nou;5-0140?;1 (1-0);21;z;Xavi;-;-;Liga BBVA 2008/09 Jornada 19;;;;;2008/09117?
181;05/12/2009;Deportivo de la Coruña;Riazor;03-ene;2 (1-0, 2-1);27, 80;z, c;Alves, Pedro;-;-;Liga BBVA 2009/10 Jornada 13;;;;;2009/10156?
206;14/04/2010;Deportivo de la Coruña;Camp Nou;3-0;;;-;;-;-;Liga BBVA 2009/10 Jornada 32;;;;;2009/10156?
240;08/01/2011;Deportivo de la Coruña;Riazor;4-0;1 (2-0);52;TL;;2 (1-0,);21, 86;Liga BBVA 2010/11 Jornada 18;;;Villa, Pedro;;2010/11188?
341;20/10/2012;Deportivo de la Coruña;Riazor;5-4272?;3 (3-0, 4-2, 5-3);18, 43, 77;z, d, z;Fábregas (2), Xavi;1;8;Liga BBVA 2012/13 Jornada 8;;;Tello;;2012/13263?
370;09/03/2013;Deportivo de la Coruña;Camp Nou;2-0;1 (2-0);88;z;Alexis;-;-;Liga BBVA 2012/13 Jornada 27; 61';;;;2012/13263?
451;18/01/2015;Deportivo de la Coruña;Riazor;4-0366?;3 (1-0, 2-0, 3-0);11, 33, 62;;Rakiti? (10, 62) Luis Suárez (33);;-;Liga BBVA 2014/15 Jornada 19;;;;90;2014/15341?
480;23/05/2015;Deportivo de la Coruña;Camp Nou;02-feb;2;5, 59;c, d;Rafinha, Neymar;;-;Liga BBVA 2014/15 Jornada 38;;;;90;2014/15341?
498;12/12/2015;Deportivo de la Coruña;Camp Nou;02-feb;1 (1-0);39;TL;;1;62;Liga BBVA 2015/16 Jornada 15;;;Rakitic;90;2015/16391?
526;20/04/2016;Deportivo de la Coruña;Riazor;8-0421?;1 (6-0);73;z;Luis Suárez;2;24, 53;Liga BBVA 2015/16 Jornada 34;;;Luis Suárez;90;2015/16391?
540;15/10/2016;Deportivo de la Coruña;Camp Nou;4-0;1 (4-0);58;z;Neymar;;;LaLiga Santander 2016/17 Jornada 8;  55 Busquets';;;35;2016/17424?
570;12/03/2017;Deportivo de la Coruña;Riazor;1-2460?;;;;;;;LaLiga Santander 2016/17 Jornada 27;;Germán Lux;;90;2016/17424?
607;17/12/2017;Deportivo de la Coruña;Camp Nou;4-0;;;;;1 (1-0);29;LaLiga Santander 2017-18 Jornada 16;;;Luis Suarez;90;2017/18475?
634;29/04/2018;Deportivo de la Coruña;Riazor;4-2509?;3 (2-0, 3-2, 4-2);38,82,85;z, d, z;Luis Suárez (3);;;LaLiga Santander 2017-18 Jornada 35;;;;90;2017/18475?
169;29/09/2009;Dinamo de Kiev;Camp Nou;2-0161?;1 (1-0);26;z;Iniesta;-;-;Liga de Campeones 2009/10 J2 FG;;;;;2009/10156?
182;09/12/2009;Dinamo de Kiev;Lobanovsky;2-1169?;1 (2-1);86;TL;;-;-;Liga de Campeones 2009/10 J6 FG;;;;;2009/10156?
740;04/11/2020;Dinamo Kiev;Camp Nou;2-1584?;1 (1-0);5;p;;;;Liga de Campeones 2020-21 FG J3;;;;90;2020/21578?
424;11/05/2014;Elche C. F.;Martínez Valero;0-0338?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 37;-;;-;90;2013/14294?
426;24/08/2014;Elche C. F.;Camp Nou;3-0340?;2 (1-0, 3-0);41, 66;z, z;Busquets;-;-;Liga BBVA 2014/15 Jornada 1;;;-;90;2014/15341?
449;08/01/2015;Elche C. F.;Camp Nou;5-0364?;1 (3-0);45;p;;2 (4-0, 5-0);56, 60;Copa del Rey 2014/15 Octavos Ida;;;Jordi Alba, Neymar;90;2014/15341?
453;24/01/2015;Elche C. F.;Martínez Valero;6-0368?;2 (2-0, 5-0);55, 88;p, z;Bartra;2;43, 66;Liga BBVA 2014/15 Jornada 20;;;Neymar (2);90;2014/15341?
762;24.2.2021;Elche C. F.;Camp Nou;3-0597?;2 (2-0, 3-0);48, 68;z (2);Braithwaite, de Jong;;;LaLiga Santander 2020-21 Jornada 1;;;;;2020/21578?
184;19/12/2009;Estudiantes de La Plata;Sheikh Zayed;02-ene;1 (2-1);109;Pe.;Dani Alves;-;-;Mundial de Clubes 2009 Final;;;;120;2009/10156?
119;22/10/2008;F.C. Basel;St. Jakob Park;5-0125?;1 (1-0);4;z;Alves;2;22, 48;Liga de Campeones 2008/09 J3 FG;;;, Bojan;;2008/09117?
122;04/11/2008;F.C. Basel;Camp Nou;1-1128?;1;62;z;Henry;-;-;Liga de Campeones 2008/09 J4 FG; 59';;;;2008/09117?
224;20/10/2010;F.C. Copenhague;Camp Nou;2-0194?;2;19, 90+2;z (2);Iniesta, Abidal;-;-;Liga de Campeones 2010/11 J3 FG;;;;;2010/11188?
227;02/11/2010;F.C. Copenhague;Parken Stadion;1-1197?;1;31;d;;-;-;Liga de Campeones 2010/11 J4 FG;;;;;2010/11188?
165;16/09/2009;F.C. Internazionale;Giuseppe Meazza;0-0158?;-;-;-;-;-;-;Liga de Campeones 2009/10 J1 FG;;;-;;2009/10156?
208;20/04/2010;F.C. Internazionale;Giuseppe Meazza;1-3183?;;;-;;-;-;Liga de Campeones 2009/10 SF Ida;;Julio Cesar;;;2009/10156?
210;28/04/2010;F.C. Internazionale;Camp Nou;1-0185?;;;-;;-;-;Liga de Campeones 2009/10 SF Vuelta;;Julio Cesar;;;2009/10156?
691;02/10/2019;F.C. Internazionale;Camp Nou;2-1547?;-;-;-;-;1;84;Liga de Campeones 2019-20 FG J2;-;;Luis Suárez;90;2019/20544?
794;22.12.2021;F.C. Lorient;Moustoir;01-ene;;;;;;;Ligue 1 2021-22 Jornada 19;;;;;2021-22
805;3.4.2022;F.C. Lorient;Parc des Princes;05-ene;1;17;;Mbappé;;;Ligue 1 2021-22 Jornada 30;;;;;2021-22
812;21.5.2022;F.C. Metz;Parc des Princes;5-0;;;;;;;Ligue 1 2021-22 Jornada 38;;;;;2021-22
787;20.11.2021;F.C. Nantes;Parc des Princes;03-ene;1 (3-1);87;z;Mbappé;;;Ligue 1 2021-22 Jornada 14;;;-;90;2021-22
800;19.2.2022;F.C. Nantes;Beaujoire;01-mar;;;;;1 (1-3);47;Ligue 1 2021-22 Jornada 25;;;Neymar;90;2021-22
813;31.7.2022;F.C. Nantes;Bloomfield;4-0;1;;;-;-;-;Supercopa de Francia 2022;;;-;90;2022-23609?
819;3.9.2022;F.C. Nantes;Beaujoire;3-0;;;;;2;;Ligue 1 2022-23 Jornada 6;;;;;2022-23609?
272;26/08/2011;F.C. Porto;Louis II;2-0220?;1 (1-0);39;z;;1;88;Supercopa de Europa 2011;;;Fàbregas;;2011/12218?
736;20/10/2020;Ferencváros;Camp Nou;5-1581?;1 (1-0);27;p;;1;89;Liga de Campeones 2020-21 FG J1;;;Dembélé;90;2020/21578?
8;17/04/2005;Getafe C.F.;Camp Nou;2-010?;-;-;-;-;-;-;La Liga 2004/05 Jornada 32; 85' Maxi López;;-;5;2004/053?
17;06/11/2005;Getafe C.F.;Alfonso Pérez;3-120?;-;-;-;-;-;-;La Liga 2005/06 Jornada 10; 68' Giuly;;-;22;2005/0613?
62;18/04/2007;Getafe C.F.;Camp Nou;5-266?;2 (2-0, 3-0);29, 45;z (2);Deco;1 (1-0);18;Copa del Rey 2006-07 Semifinales Ida; 76';;Xavi;76;2006/0739?
68;26/05/2007;Getafe C.F.;Camp Nou;1-072?;-;;-;-;-;-;La Liga 2006/07 Jornada 36;;;;89;2006/0739?
85;10/11/2007;Getafe C.F.;Alfonso Pérez;0-290?;-;-;-;-;-;-;La Liga 2007/08 Jornada 12;;R. Abbondanzieri;-;;2007/0876?
154;18/04/2009;Getafe C.F.;Alfonso Pérez;1-0;1;19;z;Xavi;-;-;Liga BBVA 2008/09 Jornada 31;;;;;2008/09117?
164;12/09/2009;Getafe C.F.;Alfonso Pérez;2-0;1 (2-0);80;c;Ibrahimovic;-;-;Liga BBVA 2009/10 Jornada 2; 63';;;15;2009/10156?
191;06/02/2010;Getafe C.F.;Camp Nou;2-1174?;1 (1-0);7;z;Yaya Touré;1 (2-0);67;Liga BBVA 2009/10 Jornada 21;;;Xavi;;2009/10156?
228;07/11/2010;Getafe C.F.;Alfonso Pérez;03-ene;1 (1-0);23;z;Villa;1;35;Liga BBVA 2010/11 Jornada 10;;;Villa;;2010/11188?
256;19/03/2011;Getafe C.F.;Camp Nou;02-ene;;;-;;1;50;Liga BBVA 2010/11 Jornada 29;;;Bojan;;2010/11188?
290;26/11/2011;Getafe C.F.;Alfonso Pérez;0-1234?;-;-;-;-;-;-;Liga BBVA 2011/12 Jornada 14;;;-;;2011/12218?
320;10/04/2012;Getafe C.F.;Camp Nou;4-0;1 (2-0);44;z;Iniesta;2;13, 75;Liga BBVA 2011/12 Jornada 33;;;Pedro;;2011/12218?
335;15/09/2012;Getafe C.F.;Alfonso Pérez;04-ene;2 (2-0, 3-0);74, 78;p, z;;-;-;Liga BBVA 2012/13 Jornada 4; 58';;;;2012/13263?
364;10/02/2013;Getafe C.F.;Camp Nou;06-ene;1 (2-0);13;z;Thiago;1;79;Liga BBVA 2012/13 Jornada 23;;;;;2012/13263?
396;08/01/2014;Getafe C.F.;Camp Nou;4-0310?;2 (3-0, 4-0);90, 90+3;z (2);Montoya, Song;-;-;Copa del Rey 2013/14 Octavos Ida; 64 Iniesta';;-;26;2013/14294?
398;16/01/2014;Getafe C.F.;Alfonso Pérez;2-0312?;2;44, 63;Cad., z;Tello;-;-;Copa del Rey 2013/14 Octavos Vuelta;-;;-;90;2013/14294?
423;04/05/2014;Getafe C.F.;Camp Nou;2-2337?;1 (1-0);23;z;Dani Alves;-;-;Liga BBVA 2013/14 Jornada 36;-;;-;90;2013/14294?
446;13/12/2014;Getafe C.F.;Alfonso Pérez;0-0361?;-;-;-;;;;Liga BBVA 2014/15 Jornada 15;;;-;90;2014/15341?
474;28/04/2015;Getafe C.F.;Camp Nou;6-0383?;2 (1-0, 6-0);9, 48;p, z;Luis Suárez;1;25;Liga BBVA 2014/15 Jornada 34;;;Luis Suárez;90;2014/15341?
518;12/03/2016;Getafe C.F.;Camp Nou;6-0;1 (4-0);40;z;Arda Turan;3;19, 32, 51;Liga BBVA 2015/16 Jornada 29;;;Neymar (2);90;2015/16391?
590;16/09/2017;Getafe C.F.;Alfonso Pérez;2-1480?;;;;;1 (2-1);84;LaLiga Santander 2017-18 Jornada 4;;;Paulinho;90;2017/18475?
619;11/02/2018;Getafe C.F.;Camp Nou;0-0;;;;;;;LaLiga Santander 2017-18 Jornada 23;;;;90;2017/18475?
658;06/01/2019;Getafe C.F.;Alfonso Pérez;02-ene;1 (1-0);20;z;-;-;-;LaLiga Santander 2018-19 Jornada 18;-;;-;90;2018/19512?
685;12/05/2019;Getafe C.F.;Camp Nou;2-0;-;-;-;-;-;-;LaLiga Santander 2018-19 Jornada 37;-;;-;90;2018/19512?
714;15/02/2020;Getafe C.F.;Camp Nou;02-ene;-;-;-;-;1 (1-0);33;LaLiga Santander 2019-20 Jornada 24;-;;Griezmann;90;2019/20544?
735;17/10/2020;Getafe C.F.;Alfonso-Pérez;0-1;;;;;;;LaLiga Santander 2020-21 Jornada 6;;;;90;2020/21578?
772;22.4.2021;Getafe C.F.;Camp Nou;5-2605?;2 (2-1, 3-1);8, 33;z, r;Busquets;1 (4-2);87;LaLiga Santander 2020-21 Jornada 31;;;Araújo;90;2020/21578?
592;23/09/2017;Girona F.C.;Montilivi;3-0;;;;;;;LaLiga Santander 2017-18 Jornada 6;;;;90;2017/18475?
622;24/02/2018;Girona F.C.;Camp Nou;6-1500?;2 (2-1, 3-1);30, 36;TL, z;Luis Suárez;1 (1-1);5;LaLiga Santander 2017-18 Jornada 25;;;Luis Suárez;90;2017/18475?
644;23/09/2018;Girona F.C.;Camp Nou;02-feb;1 (1-0);19;z;Arturo Vidal;;;LaLiga Santander 2018-19 Jornada 5;;;;;2018/19512?
662;27/01/2019;Girona F.C.;Montilivi;2-0;1 (2-0);68;z;Jordi Alba;-;-;LaLiga Santander 2018-19 Jornada 21;-;;-;90;2018/19512?
804;13.2.2022;Girondins Burdeos;Parc des Princes;3-0;;;;;;;Ligue 1 2021-22 Jornada 28;;;;;2021-22
284;25/10/2011;Granada C.F.;Los Carménes;1-0;;;-;;-;-;Liga BBVA 2011/12 Jornada 10;;;;;2011/12218?
314;20/03/2012;Granada C.F.;Camp Nou;5-3253?;3 (2-0, 3-2, 5-2);17, 67, 86;z (3);Dani Alves (2);1 (1-0);4;Liga BBVA 2011/12 Jornada 29;;;Xavi;;2011/12218?
337;22/09/2012;Granada C.F.;Camp Nou;2-0;;;-;;-;-;Liga BBVA 2012/13 Jornada 5;;;;;2012/13263?
365;16/02/2013;Granada C.F.;Los Carménes;02-ene;2;50, 73;r, TL;;-;-;Liga BBVA 2012/13 Jornada 24;;;;;2012/13263?
419;12/04/2014;Granada C.F.;Los Carménes;0-1333?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 33;;Orestis Karnezis;-;90;2013/14294?
432;27/09/2014;Granada C.F.;Camp Nou;6-0347?;2;62, 82;c z;;2;45, 66;Liga BBVA 2014/15 Jornada 6;-;;Rakitic, Neymar;90;2014/15341?
461;28/02/2015;Granada C.F.;Los Cármenes;3-1373?;1 (3-1);70;d;Luis Suárez;;-;Liga BBVA 2014/15 Jornada 25;;;;90;2014/15341?
503;09/01/2016;Granada C.F.;Camp Nou;4-0406?;3 (1-0, 2-0, 3-0);8, 14, 58;z (2), r;Arda Turan, Luis Suárez;;-;Liga BBVA 2015/16 Jornada 19;;;;90;2015/16391?
530;14/05/2016;Granada C.F.;Los Cármenes;3-0;-;-;;;;-;Liga BBVA 2015/16 Jornada 38;;;;90;2015/16391?
543;29/10/2016;Granada C.F.;Camp Nou;1-0433?;;;;;;;LaLiga Santander 2016/17 Jornada 10;;;;90;2016/17424?
689;21/09/2019;Granada C.F.;Los Cármenes;0-2545?;-;-;-;-;-;-;LaLiga Santander 2019-20 Jornada 5; 46 Carles Pérez';Rui Silva;-;44;2019/20544?
708;19/01/2020;Granada C.F.;Camp Nou;1-0560?;1;76;d;Arturo Vidal;-;-;LaLiga Santander 2019-20 Jornada 20;-;;-;90;2019/20544?
752;9.1.2021;Granada C.F.;Los Cármenes;4-0;2 (2-0, 3-0);35, 42;z, TL;Griezmann;;;LaLiga Santander 2020-21 Jornada 18; 73' Pjanic;;;65;2020/21578?
756;3.2.2021;Granada C.F.;Los Cármenes;5-3591?;;;;;1 (1-2);88;Copa del Rey 2020-21 Cuartos de final; 103;;Griezmann;120;2020/21578?
774;29.4.2021;Granada C.F.;Camp Nou;01-feb;1 (1-0);23;z;Griezmann;;;LaLiga Santander 2020-21 Jornada 33;;;;90;2020/21578?
218;11/09/2010;Hércules C.F.;Camp Nou;0-2;-;-;-;-;-;-;Liga BBVA 2010/11 Jornada 2;;;-;;2010/11188?
246;29/01/2011;Hércules C.F.;José Rico Pérez;3-0;2 (2-0, 3-0);87, 89;z (2);Dani Alves;-;-;Liga BBVA 2010/11 Jornada 21;;;;;2010/11188?
482;06/06/2015;Juventus F.C.;Olímpico de Berlín;3-1389?;-;-;;;;-;Liga de Campeones 2014/15 Final;;;;90;2014/15341?
574;11/04/2017;Juventus F.C.;Juventus Stadium;0-3464?;;;;;;;Liga de Campeones 2016-17 Cuartos Ida;;Gianluigi Buffon;;90;2016/17424?
